Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
AMPARO;3501905;SP;sexta-feira, 01/05;58%
AMPARO;3501905;SP;quinta-feira, 30/04;49%
AMPARO;3501905;SP;quarta-feira, 29/04;51%
AMPARO;3501905;SP;terça-feira, 28/04;51%
AMPARO;3501905;SP;segunda-feira, 27/04;51%
AMPARO;3501905;SP;domingo, 26/04;63%
AMPARO;3501905;SP;sábado, 25/04;55%
AMPARO;3501905;SP;sexta-feira, 24/04;51%
AMPARO;3501905;SP;quinta-feira, 23/04;51%
AMPARO;3501905;SP;quarta-feira, 22/04;51%
AMPARO;3501905;SP;terça-feira, 21/04;60%
AMPARO;3501905;SP;segunda-feira, 20/04;54%
AMPARO;3501905;SP;domingo, 19/04;63%
AMPARO;3501905;SP;sábado, 18/04;57%
AMPARO;3501905;SP;sexta-feira, 17/04;51%
AMPARO;3501905;SP;quinta-feira, 16/04;52%
AMPARO;3501905;SP;quarta-feira, 15/04;53%
AMPARO;3501905;SP;terça-feira, 14/04;52%
AMPARO;3501905;SP;segunda-feira, 13/04;53%
AMPARO;3501905;SP;domingo, 12/04;63%
AMPARO;3501905;SP;sábado, 11/04;59%
AMPARO;3501905;SP;sexta-feira, 10/04;65%
AMPARO;3501905;SP;quinta-feira, 09/04;51%
AMPARO;3501905;SP;quarta-feira, 08/04;54%
AMPARO;3501905;SP;terça-feira, 07/04;52%
AMPARO;3501905;SP;segunda-feira, 06/04;54%
AMPARO;3501905;SP;domingo, 05/04;61%
AMPARO;3501905;SP;sábado, 04/04;59%
AMPARO;3501905;SP;sexta-feira, 03/04;56%
AMPARO;3501905;SP;quinta-feira, 02/04;56%
AMPARO;3501905;SP;quarta-feira, 01/04;57%
AMPARO;3501905;SP;terça-feira, 31/03;57%
AMPARO;3501905;SP;segunda-feira, 30/03;54%
AMPARO;3501905;SP;domingo, 29/03;60%
AMPARO;3501905;SP;sábado, 28/03;56%
AMPARO;3501905;SP;sexta-feira, 27/03;55%
AMPARO;3501905;SP;quinta-feira, 26/03;54%
AMPARO;3501905;SP;quarta-feira, 25/03;55%
AMPARO;3501905;SP;terça-feira, 24/03;55%
AMPARO;3501905;SP;segunda-feira, 23/03;55%
AMPARO;3501905;SP;domingo, 22/03;58%
AMPARO;3501905;SP;sábado, 21/03;62%
AMPARO;3501905;SP;sexta-feira, 20/03;48%
AMPARO;3501905;SP;quinta-feira, 19/03;47%
AMPARO;3501905;SP;quarta-feira, 18/03;46%
AMPARO;3501905;SP;terça-feira, 17/03;45%
AMPARO;3501905;SP;sexta-feira, 13/03;40%
AMPARO;3501905;SP;quinta-feira, 12/03;38%
AMPARO;3501905;SP;sexta-feira, 06/03;40%
AMPARO;3501905;SP;quinta-feira, 05/03;41%
ARAÇATUBA;3502804;SP;domingo, 06/09;38%
ARAÇATUBA;3502804;SP;sábado, 05/09;35%
ARAÇATUBA;3502804;SP;sexta-feira, 04/09;34%
ARAÇATUBA;3502804;SP;quinta-feira, 03/09;34%
ARAÇATUBA;3502804;SP;quarta-feira, 02/09;34%
ARAÇATUBA;3502804;SP;terça-feira, 01/09;36%
ARAÇATUBA;3502804;SP;segunda-feira, 31/08;35%
ARAÇATUBA;3502804;SP;domingo, 30/08;40%
ARAÇATUBA;3502804;SP;sábado, 29/08;35%
ARAÇATUBA;3502804;SP;sexta-feira, 28/08;33%
ARAÇATUBA;3502804;SP;quinta-feira, 27/08;34%
ARAÇATUBA;3502804;SP;quarta-feira, 26/08;34%
ARAÇATUBA;3502804;SP;terça-feira, 25/08;36%
ARAÇATUBA;3502804;SP;segunda-feira, 24/08;34%
ARAÇATUBA;3502804;SP;domingo, 23/08;40%
ARAÇATUBA;3502804;SP;sábado, 22/08;36%
ARAÇATUBA;3502804;SP;sexta-feira, 21/08;35%
ARAÇATUBA;3502804;SP;quinta-feira, 20/08;36%
ARAÇATUBA;3502804;SP;quarta-feira, 19/08;36%
ARAÇATUBA;3502804;SP;terça-feira, 18/08;36%
ARAÇATUBA;3502804;SP;segunda-feira, 17/08;35%
ARAÇATUBA;3502804;SP;domingo, 16/08;44%
ARAÇATUBA;3502804;SP;sábado, 15/08;37%
ARAÇATUBA;3502804;SP;sexta-feira, 14/08;36%
ARAÇATUBA;3502804;SP;quinta-feira, 13/08;35%
ARAÇATUBA;3502804;SP;quarta-feira, 12/08;35%
ARAÇATUBA;3502804;SP;terça-feira, 11/08;35%
ARAÇATUBA;3502804;SP;segunda-feira, 10/08;36%
ARAÇATUBA;3502804;SP;domingo, 09/08;40%
ARAÇATUBA;3502804;SP;sábado, 08/08;36%
ARAÇATUBA;3502804;SP;sexta-feira, 07/08;34%
ARAÇATUBA;3502804;SP;quinta-feira, 06/08;34%
ARAÇATUBA;3502804;SP;quarta-feira, 05/08;34%
ARAÇATUBA;3502804;SP;terça-feira, 04/08;34%
ARAÇATUBA;3502804;SP;segunda-feira, 03/08;36%
ARAÇATUBA;3502804;SP;domingo, 02/08;43%
ARAÇATUBA;3502804;SP;sábado, 01/08;38%
ARAÇATUBA;3502804;SP;sexta-feira, 31/07;34%
ARAÇATUBA;3502804;SP;quinta-feira, 30/07;36%
ARAÇATUBA;3502804;SP;quarta-feira, 29/07;36%
ARAÇATUBA;3502804;SP;terça-feira, 28/07;37%
ARAÇATUBA;3502804;SP;segunda-feira, 27/07;37%
ARAÇATUBA;3502804;SP;domingo, 26/07;43%
ARAÇATUBA;3502804;SP;sábado, 25/07;37%
ARAÇATUBA;3502804;SP;sexta-feira, 24/07;34%
ARAÇATUBA;3502804;SP;quinta-feira, 23/07;36%
ARAÇATUBA;3502804;SP;quarta-feira, 22/07;39%
ARAÇATUBA;3502804;SP;terça-feira, 21/07;38%
ARAÇATUBA;3502804;SP;segunda-feira, 20/07;38%
ARAÇATUBA;3502804;SP;domingo, 19/07;45%
ARAÇATUBA;3502804;SP;sábado, 18/07;40%
